geracao,barras,potencias,energias,violacao,custo
2,"[13, 4]","[30.46611557708781, 42.22737032140977]","[109.20529566328428, 45.52499816008423]",319.44444444444446,226.45381721911633
2,"[6, 13]","[24.79499865900464, 23.754305707078743]","[105.38122079019757, 157.9858550913711]",0.0,311.91638024765206
2,"[1, 8]","[44.485251277767944, 30.897607602624355]","[69.73511353103987, 144.16370039799713]",128.47222222222223,289.2816728094293
2,"[1, 8]","[44.485251277767944, 30.897607602624355]","[69.73511353103987, 166.4000446574331]",128.47222222222223,289.2816728094293
2,"[1, 10]","[44.485251277767944, 30.897607602624355]","[69.73511353103987, 144.16370039799713]",128.47222222222223,289.2816728094293
2,"[12, 1]","[44.993087828680686, 36.05762302653888]","[69.91608795864346, 139.100024187472]",118.05555555555556,290.066823001335
2,"[12, 1]","[44.993087828680686, 36.05762302653888]","[47.68452684794724, 139.100024187472]",118.05555555555556,290.066823001335
2,"[13, 1]","[10.091261220461867, 87.69788412468465]","[61.33180072728565, 121.73384469186834]",135.41666666666669,280.85479076430056
2,"[13, 10]","[22.299182646130888, 44.94102582986206]","[130.73742956464162, 52.69000950297923]",270.8333333333333,250.66764754361378
3,"[5, 2]","[35.210207331509515, 17.02556928997533]","[59.77419542857514, 31.39720487316655]",84.02777777777779,143.40717692322653
3,"[5, 10]","[17.42128646777082, 19.139747443255356]","[78.27000431052991, 52.34713662465383]",0.0,167.1781748462099
3,"[5, 10]","[21.44516822772598, 19.139747443255356]","[78.27000431052991, 59.114778404678304]",0.0,167.1781748462099
3,"[10, 5]","[7.1914826081102, 20.3555394521186]","[88.9063154469661, 51.452678241816784]",40.27777777777778,167.90601574901171
3,"[10, 5]","[7.1914826081102, 20.3555394521186]","[88.9063154469661, 66.5052342577564]",40.27777777777778,167.90601574901171
3,"[10, 1]","[7.1914826081102, 18.880254850847745]","[88.9063154469661, 66.5052342577564]",40.27777777777778,167.90601574901171
3,"[10, 5]","[7.1914826081102, 4.319992299746151]","[88.9063154469661, 76.87594210259515]",40.27777777777778,167.90601574901171
3,"[10, 1]","[7.1914826081102, 18.880254850847745]","[88.9063154469661, 66.5052342577564]",40.27777777777778,167.90601574901171
3,"[10, 5]","[7.1914826081102, 20.3555394521186]","[88.9063154469661, 66.5052342577564]",40.27777777777778,167.90601574901171
3,"[10, 5]","[7.1914826081102, 4.319992299746151]","[87.75501135906315, 76.87594210259515]",40.27777777777778,167.90601574901171
3,"[10, 5]","[7.1914826081102, 20.3555394521186]","[88.9063154469661, 59.27826999460983]",23.61111111111111,175.73160750180472
3,"[3, 5]","[7.1914826081102, 15.299658779974564]","[88.9063154469661, 69.05555336299766]",0.0,180.45301019804853
3,"[5, 6]","[33.32577953436673, 17.2027526266875]","[71.800915291589, 54.28763480114415]",140.27777777777777,176.61708225378737
3,"[10, 5]","[7.090888993670367, 20.233666531648545]","[88.24509564741315, 86.80809990193039]",0.0,202.37775107466246
3,"[10, 5]","[7.090888993670367, 20.233666531648545]","[113.55042741693211, 86.80809990193039]",0.0,202.37775107466246
3,"[5, 6]","[33.32577953436673, 17.2027526266875]","[71.800915291589, 54.30093909250205]",140.27777777777777,176.63038654514529
3,"[5, 6]","[33.32577953436673, 17.2027526266875]","[71.800915291589, 54.30093909250205]",140.27777777777777,176.63038654514529
3,"[5, 6]","[33.32577953436673, 17.2027526266875]","[71.800915291589, 54.30093909250205]",140.27777777777777,176.63038654514529
3,"[10, 5]","[7.191482608110199, 20.3555394521186]","[88.9063154469661, 88.67067224651672]",0.0,205.12400975371162
3,"[14, 8]","[15.430468438250072, 31.139448718654382]","[45.10205113683701, 91.72500035510487]",150.0,183.39696864884633
3,"[14, 8]","[15.430468438250072, 31.139448718654382]","[5.369012680570279, 91.72500035510487]",150.0,183.39696864884633
3,"[14, 8]","[15.430468438250072, 31.139448718654382]","[45.10205113683701, 91.72500035510487]",150.0,183.39696864884633
3,"[14, 7]","[17.701602269761693, 31.139448718654382]","[45.10205113683701, 91.72500035510487]",150.0,183.39696864884633
3,"[14, 8]","[15.430468438250072, 31.139448718654382]","[78.42134873540678, 90.30871944346373]",150.0,183.39696864884633
3,"[10, 1]","[7.1914826081102, 20.30748541045848]","[88.9063154469661, 66.5052342577564]",168.75,182.9105177232912
3,"[5, 13]","[18.747728377364275, 35.0334077142191]","[114.51001896399211, 78.64105388864249]",1.3888888888888888,246.93220894421796
3,"[13, 10]","[22.24605939937334, 29.44899448228463]","[113.18553677226821, 66.74057672192603]",138.19444444444446,231.6211673758522
3,"[11, 5]","[21.12945415597421, 30.4396398188917]","[111.26872046751089, 73.1951526835268]",34.02777777777777,236.0329671259036
3,"[8, 5]","[24.094219260076734, 24.70536430913225]","[25.613674558428755, 172.65413151912384]",0.0,247.06738964676157
3,"[10, 14]","[9.723845945665108, 25.80028150059655]","[66.78976068958187, 90.21278728769977]",158.33333333333331,192.52667542354328
3,"[5, 14]","[13.314707726201592, 40.649971297842484]","[74.93807751699138, 104.09705837695384]",152.77777777777777,232.99981491798928
3,"[5, 14]","[13.314707726201592, 40.649971297842484]","[74.93807751699138, 103.76521624348946]",152.77777777777777,232.99981491798928
3,"[5, 10]","[10.956929746993072, 38.726028120144285]","[108.74138855131146, 86.5100891840197]",38.19444444444444,244.9344356024685
3,"[5, 10]","[21.98141288534142, 54.52892292554263]","[108.74138855131146, 48.668915571672564]",38.19444444444444,244.9344356024685
3,"[13, 10]","[22.299182646130888, 29.44899448228463]","[123.23401776847851, 66.74057672192603]",138.19444444444446,241.72277161882005
3,"[13, 10]","[22.299182646130888, 29.44899448228463]","[123.23401776847851, 66.74057672192603]",138.19444444444446,241.72277161882005
3,"[13, 10]","[22.299182646130888, 29.44899448228463]","[111.34041932031423, 66.74057672192603]",138.19444444444446,241.72277161882005
3,"[13, 10]","[21.956751022318592, 29.44899448228463]","[123.23401776847851, 66.74057672192603]",138.19444444444446,241.72277161882005
3,"[7, 10]","[22.299182646130888, 29.44899448228463]","[111.34041932031423, 70.05899416118389]",138.19444444444446,241.72277161882005
3,"[13, 10]","[22.299182646130888, 29.44899448228463]","[123.23401776847851, 66.74057672192603]",138.19444444444446,241.72277161882005
3,"[13, 10]","[22.299182646130888, 29.44899448228463]","[124.63640920606375, 66.74057672192603]",138.19444444444446,241.72277161882005
3,"[13, 10]","[21.956751022318592, 29.44899448228463]","[123.23401776847851, 56.98197921023075]",138.19444444444446,241.72277161882005
3,"[10, 5]","[7.102344321440305, 20.07954368302073]","[137.72139863949377, 84.49606467068692]",0.0,249.3993513146417
3,"[14, 7]","[18.246179229877562, 47.74213245831219]","[49.48261537546289, 79.51294746704994]",387.5,194.9838745307026
3,"[14, 7]","[29.312038386921348, 42.587547066598546]","[81.51314348013571, 61.399535106314005]",247.9166666666667,214.8122640399696
3,"[5, 14]","[18.695676328809927, 35.087218229425]","[114.13089273756258, 78.8849397979187]",70.83333333333333,246.7987270937162
3,"[5, 3]","[10.783365203771254, 39.20176270370659]","[110.63455389371481, 100.93404706236092]",0.0,261.5537288635536
3,"[5, 3]","[10.783365203771254, 39.20176270370659]","[110.63455389371481, 126.3242670680988]",0.0,261.5537288635536
3,"[13, 14]","[25.651182885200228, 38.86095180874905]","[72.05627350653091, 70.29608933989144]",459.7222222222222,206.86449754037164
3,"[5, 12]","[30.286853897623075, 34.4245387557711]","[115.89522837498245, 95.48417815208657]",0.0,276.0907991804632
4,"[5, 2]","[35.210207331509515, 17.02556928997533]","[59.77419542857514, 31.39720487316655]",84.02777777777779,143.40717692322653
4,"[5, 10]","[17.42128646777082, 19.139747443255356]","[78.27000431052991, 52.34713662465383]",0.0,167.1781748462099
4,"[5, 10]","[21.44516822772598, 19.139747443255356]","[78.27000431052991, 59.114778404678304]",0.0,167.1781748462099
4,"[6, 10]","[17.42128646777082, 19.139747443255356]","[78.27000431052991, 52.34713662465383]",0.0,167.1781748462099
4,"[5, 10]","[32.58882935836312, 17.337114891013595]","[62.499740523191505, 34.48438987179198]",81.94444444444446,146.91007464436018
4,"[10, 5]","[7.1914826081102, 20.3555394521186]","[88.9063154469661, 51.452678241816784]",40.27777777777778,167.90601574901171
4,"[10, 5]","[7.1914826081102, 20.3555394521186]","[88.9063154469661, 66.5052342577564]",40.27777777777778,167.90601574901171
4,"[10, 1]","[7.1914826081102, 18.880254850847745]","[88.9063154469661, 66.5052342577564]",40.27777777777778,167.90601574901171
4,"[10, 5]","[7.1914826081102, 4.319992299746151]","[88.9063154469661, 76.87594210259515]",40.27777777777778,167.90601574901171
4,"[10, 1]","[7.1914826081102, 18.880254850847745]","[88.9063154469661, 66.5052342577564]",40.27777777777778,167.90601574901171
4,"[10, 5]","[7.1914826081102, 20.3555394521186]","[88.9063154469661, 66.5052342577564]",40.27777777777778,167.90601574901171
4,"[10, 5]","[7.1914826081102, 4.319992299746151]","[87.75501135906315, 76.87594210259515]",40.27777777777778,167.90601574901171
4,"[10, 5]","[7.1914826081102, 20.3555394521186]","[88.9063154469661, 42.51266510235243]",40.27777777777778,167.90601574901171
4,"[10, 1]","[0.0, 18.880254850847745]","[123.80773670654403, 66.5052342577564]",40.27777777777778,167.90601574901171
4,"[10, 1]","[24.601421357922934, 18.880254850847745]","[88.9063154469661, 94.38682292518347]",40.27777777777778,167.90601574901171
4,"[10, 5]","[7.1914826081102, 4.319992299746151]","[87.75501135906315, 91.68079023433523]",40.27777777777778,167.90601574901171
4,"[5, 10]","[9.698534459642794, 20.141696261785818]","[87.03551625581642, 52.800349497698456]",0.0,169.67609647494348
4,"[10, 5]","[7.1914826081102, 20.3555394521186]","[88.9063154469661, 59.27826999460983]",23.61111111111111,175.73160750180472
4,"[10, 9]","[7.1914826081102, 6.723362984996318]","[88.9063154469661, 71.04125883446135]",178.47222222222223,173.86241987453397
4,"[10, 3]","[7.1914826081102, 15.596080969752457]","[77.40348357570436, 75.86201085784246]",0.0,176.05305801140946
