hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
9, 600.00000, 19.1002, 5.1763, 21.5687, 14.7059, 17.4818, 17.2794, 0, 0
9, 1200.00000, 19.1691, 5.1876, 21.6458, 14.7154, 17.545, 17.2877, 0, 0
9, 1800.00000, 19.1351, 5.1821, 21.6077, 14.7104, 17.5139, 17.2831, 0, 0
9, 2400.00000, 19.3404, 5.21555, 21.8378, 14.7397, 17.7022, 17.3092, 0, 0
9, 3000.00000, 19.581, 5.25491, 22.1072, 14.7733, 17.9231, 17.3388, 0, 0
10, 0.00000, 19.6847, 5.27202, 22.2232, 14.7874, 18.0184, 17.351, 0, 0
10, 600.00000, 19.8565, 5.30009, 22.4156, 14.8116, 18.1761, 17.3722, 0, 0
10, 1200.00000, 19.8914, 5.30597, 22.4546, 14.8161, 18.2083, 17.376, 0, 0
10, 1800.00000, 20.2357, 5.3624, 22.8399, 14.8641, 18.5245, 17.4182, 0, 0
10, 2400.00000, 20.3044, 5.37362, 22.9168, 14.8738, 18.5876, 17.4268, 0, 0
10, 3000.00000, 20.2704, 5.36817, 22.8787, 14.8689, 18.5564, 17.4222, 0, 0
11, 0.00000, 20.0303, 5.32903, 22.6098, 14.8349, 18.336, 17.3921, 0, 0
11, 600.00000, 19.7196, 5.27788, 22.2622, 14.792, 18.0506, 17.3547, 0, 0
11, 1200.00000, 19.4798, 5.23874, 21.9934, 14.758, 17.8304, 17.3246, 0, 0
11, 1800.00000, 19.1008, 5.17648, 21.5692, 14.7057, 17.4823, 17.2789, 0, 0
11, 2400.00000, 18.7229, 5.1146, 21.1459, 14.6529, 17.1355, 17.2327, 0, 0
11, 3000.00000, 18.3796, 5.05839, 20.7612, 14.605, 16.8204, 17.1906, 0, 0
12, 0.00000, 18.3795, 5.05835, 20.7611, 14.605, 16.8203, 17.1908, 0, 0
12, 600.00000, 18.4479, 5.06953, 20.8378, 14.6148, 16.883, 17.1994, 0, 0
12, 1200.00000, 18.3798, 5.0584, 20.7614, 14.6049, 16.8206, 17.1905, 0, 0
12, 1800.00000, 18.3795, 5.05835, 20.7612, 14.605, 16.8203, 17.1908, 0, 0
12, 2400.00000, 18.5163, 5.0807, 20.9145, 14.6245, 16.9458, 17.2081, 0, 0
12, 3000.00000, 18.551, 5.08641, 20.9533, 14.6291, 16.9777, 17.2119, 0, 0
13, 0.00000, 18.5511, 5.08644, 20.9535, 14.629, 16.9778, 17.2118, 0, 0
13, 600.00000, 18.5511, 5.08644, 20.9535, 14.629, 16.9778, 17.2118, 0, 0
13, 1200.00000, 19.0661, 5.17073, 21.5305, 14.7009, 17.4505, 17.275, 0, 0
13, 1800.00000, 19.5818, 5.2552, 22.108, 14.7729, 17.924, 17.3382, 0, 0
13, 2400.00000, 19.9603, 5.31725, 22.5317, 14.8257, 18.2715, 17.3845, 0, 0
13, 3000.00000, 20.6146, 5.42447, 23.2639, 14.917, 18.8725, 17.4648, 0, 0
14, 0.00000, 21.4078, 5.55457, 24.151, 15.0276, 19.6013, 17.5621, 0, 0
14, 600.00000, 22.1333, 5.67365, 24.9617, 15.1288, 20.268, 17.651, 0, 0
14, 1200.00000, 22.6176, 5.75323, 25.5027, 15.1963, 20.7132, 17.7104, 0, 0
14, 1800.00000, 23.6912, 5.92953, 26.7013, 15.3459, 21.7005, 17.8424, 0, 0
14, 2400.00000, 23.8642, 5.9578, 26.8944, 15.3701, 21.8595, 17.8638, 0, 0
14, 3000.00000, 23.9342, 5.96957, 26.9723, 15.3798, 21.9239, 17.8722, 0, 0
15, 0.00000, 24.1416, 6.00333, 27.2039, 15.4088, 22.1147, 17.898, 0, 0
15, 600.00000, 24.3499, 6.03759, 27.4362, 15.4378, 22.3063, 17.9236, 0, 0
15, 1200.00000, 24.4893, 6.06069, 27.5915, 15.4571, 22.4346, 17.9406, 0, 0
15, 1800.00000, 24.6628, 6.08915, 27.7851, 15.4813, 22.5943, 17.962, 0, 0
