hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
9, 600.00000, 1.29647, 1.95942, 1.87065, 3.71557, 0.0626848, 3.33475, 0, 0
9, 1200.00000, 0.159242, 2.05936, 0.660255, 3.70111, -1.01205, 3.31412, 0, 0
9, 1800.00000, -0.816127, 2.14288, -0.380639, 3.67872, -1.92846, 3.28795, 0, 0
9, 2400.00000, -1.12694, 2.19358, -0.707874, 3.71269, -2.23299, 3.31606, 0, 0
9, 3000.00000, -1.80754, 2.2881, -1.42867, 3.75362, -2.88728, 3.34897, 0, 0
10, 0.00000, -2.15297, 2.33489, -1.7951, 3.77164, -3.2183, 3.36319, 0, 0
10, 600.00000, -3.23399, 2.47034, -2.94578, 3.80502, -4.24575, 3.38728, 0, 0
10, 1200.00000, -3.97972, 2.55997, -3.74194, 3.81735, -4.94975, 3.39458, 0, 0
10, 1800.00000, -4.08499, 2.61037, -3.84666, 3.88314, -5.06807, 3.45315, 0, 0
10, 2400.00000, -4.21188, 2.63324, -3.98062, 3.89763, -5.19124, 3.46571, 0, 0
10, 3000.00000, -4.18635, 2.62712, -3.95401, 3.89152, -5.16518, 3.46053, 0, 0
11, 0.00000, -4.49781, 2.63758, -4.29264, 3.84989, -5.44512, 3.42141, 0, 0
11, 600.00000, -4.79562, 2.63829, -4.61845, 3.79459, -5.70842, 3.36988, 0, 0
11, 1200.00000, -4.91845, 2.6274, -4.75551, 3.75178, -5.81072, 3.3307, 0, 0
11, 1800.00000, -5.01461, 2.5972, -4.86736, 3.68181, -5.88029, 3.26703, 0, 0
11, 2400.00000, -5.16734, 2.57367, -5.03995, 3.61242, -6.00323, 3.20336, 0, 0
11, 3000.00000, -5.45854, 2.57131, -5.36018, 3.55196, -6.25863, 3.14681, 0, 0
12, 0.00000, -5.27036, 2.54969, -5.15861, 3.55057, -6.08127, 3.14691, 0, 0
12, 600.00000, -5.3212, 2.56257, -5.21151, 3.56341, -6.13311, 3.15799, 0, 0
12, 1200.00000, -4.94984, 2.50866, -4.81551, 3.54401, -5.77932, 3.14267, 0, 0
12, 1800.00000, -4.93097, 2.50629, -4.79532, 3.54368, -5.76155, 3.14246, 0, 0
12, 2400.00000, -4.69347, 2.49346, -4.53775, 3.5671, -5.54541, 3.16514, 0, 0
12, 3000.00000, -4.66237, 2.49252, -4.50369, 3.57219, -5.51805, 3.16977, 0, 0
13, 0.00000, -4.73788, 2.50122, -4.58453, 3.57281, -5.58922, 3.16982, 0, 0
13, 600.00000, -4.6435, 2.49055, -4.48346, 3.57223, -5.50024, 3.16999, 0, 0
13, 1200.00000, -4.42288, 2.52176, -4.23525, 3.66745, -5.32126, 3.25709, 0, 0
13, 1800.00000, -3.88107, 2.51428, -3.6436, 3.75814, -4.83955, 3.34186, 0, 0
13, 2400.00000, -3.51999, 2.51459, -3.24895, 3.82655, -4.52066, 3.40529, 0, 0
13, 3000.00000, -2.83372, 2.51036, -2.5011, 3.94646, -3.91112, 3.51646, 0, 0
14, 0.00000, -2.17427, 2.52709, -1.77984, 4.09487, -3.3348, 3.65256, 0, 0
14, 600.00000, -0.525234, 2.44324, -0.0066021, 4.24258, -1.82419, 3.79206, 0, 0
14, 1200.00000, 0.220259, 2.42825, 0.797006, 4.34399, -1.15045, 3.88559, 0, 0
14, 1800.00000, 1.36585, 2.44823, 2.03661, 4.56735, -0.133991, 4.08869, 0, 0
14, 2400.00000, 2.58754, 2.37483, 3.33792, 4.63626, 1.00427, 4.15539, 0, 0
14, 3000.00000, 3.03925, 2.35219, 3.81904, 4.66643, 1.42496, 4.18462, 0, 0
15, 0.00000, 5.81323, 2.21527, 6.76449, 4.83584, 4.01938, 4.34937, 0, 0
15, 600.00000, 6.87345, 2.19176, 7.89078, 4.93854, 5.00334, 4.44619, 0, 0
15, 1200.00000, 7.3184, 2.19053, 8.36423, 4.99403, 5.41341, 4.498, 0, 0
15, 1800.00000, 8.47298, 2.17189, 9.58813, 5.10792, 6.48788, 4.60566, 0, 0
15, 2400.00000, 9.92564, 2.12675, 11.1221, 5.2017, 7.86088, 4.70037, 0, 0
15, 3000.00000, 14.8293, 2.07217, 16.2899, 5.5918, 12.5115, 5.09687, 0, 0
16, 0.00000, 16.3362, 2.10725, 17.8768, 5.77218, 13.9326, 5.27395, 0, 0
16, 600.00000, 18.8504, 2.2062, 20.5221, 6.11176, 16.3039, 5.60677, 0, 0
16, 1200.00000, 19.3234, 2.22898, 21.0191, 6.17813, 16.7512, 5.67205, 0, 0
16, 1800.00000, 21.2327, 2.37412, 23.0283, 6.52872, 18.5325, 6.0065, 0, 0
16, 2400.00000, 21.6423, 2.43327, 23.4614, 6.65214, 18.8982, 6.1181, 0, 0
16, 3000.00000, 22.8533, 2.59952, 24.7395, 6.99564, 19.9892, 6.4311, 0, 0
17, 0.00000, 23.8845, 2.70941, 25.8221, 7.22853, 20.9397, 6.64702, 0, 0
17, 600.00000, 24.3909, 2.83302, 26.3545, 7.46763, 21.359, 6.85088, 0, 0
17, 1200.00000, 25.0583, 2.91544, 27.0555, 7.63226, 21.972, 7.00354, 0, 0
17, 1800.00000, 26.1313, 3.04759, 28.191, 7.9257, 22.9366, 7.27045, 0, 0
17, 2400.00000, 27.0631, 3.22748, 29.1784, 8.29565, 23.7316, 7.59348, 0, 0
17, 3000.00000, 20.6203, 2.43601, 22.8928, 7.86381, 17.0559, 7.11796, 0, 0
18, 0.00000, 22.4747, 2.73923, 24.7384, 8.34188, 18.7545, 7.50101, 0, 0
18, 600.00000, 24.4139, 3.12653, 26.7011, 9.02862, 20.4461, 8.0583, 0, 0
18, 1200.00000, 24.8333, 3.21572, 27.1207, 9.17974, 20.812, 8.17864, 0, 0
18, 1800.00000, 25.3168, 3.32017, 27.6043, 9.35464, 21.2345, 8.31844, 0, 0
18, 2400.00000, 24.9963, 3.25078, 27.2829, 9.23838, 20.9542, 8.22477, 0, 0
18, 3000.00000, 24.7381, 3.19537, 27.0246, 9.14525, 20.7286, 8.15051, 0, 0
19, 0.00000, 24.929, 3.23614, 27.217, 9.21453, 20.8956, 8.20682, 0, 0
19, 600.00000, 24.6095, 3.168, 26.8956, 9.09899, 20.6162, 8.11326, 0, 0
19, 1200.00000, 24.2532, 3.09274, 26.5391, 8.97157, 20.3049, 8.01175, 0, 0
19, 1800.00000, 23.1893, 2.87411, 25.4691, 8.59385, 19.3758, 7.70838, 0, 0
19, 2400.00000, 22.4751, 2.73878, 24.7387, 8.34266, 18.7538, 7.50111, 0, 0
19, 3000.00000, 22.02, 2.65559, 24.2706, 8.18389, 18.3576, 7.36883, 0, 0
20, 0.00000, 21.826, 2.62059, 24.0705, 8.11637, 18.1888, 7.31235, 0, 0
20, 600.00000, 21.7603, 2.6088, 24.0031, 8.09369, 18.1316, 7.29359, 0, 0
20, 1200.00000, 21.6953, 2.59714, 23.9361, 8.0712, 18.075, 7.27482, 0, 0
20, 1800.00000, 21.6303, 2.58552, 23.8692, 8.04874, 18.0184, 7.25607, 0, 0
20, 2400.00000, 21.5976, 2.57969, 23.8355, 8.03749, 17.99, 7.24669, 0, 0
20, 3000.00000, 21.3711, 2.5395, 23.6018, 7.95926, 17.7928, 7.18119, 0, 0
21, 0.00000, 21.1114, 2.49385, 23.3338, 7.86999, 17.5667, 7.10658, 0, 0
21, 600.00000, 20.2332, 2.34298, 22.4263, 7.57129, 16.8019, 6.85641, 0, 0
21, 1200.00000, 19.4214, 2.20837, 21.5854, 7.29836, 16.0953, 6.62744, 0, 0
21, 1800.00000, 18.7722, 2.10411, 20.9114, 7.08252, 15.5304, 6.44594, 0, 0
21, 2400.00000, 17.4075, 1.89746, 19.4856, 6.63603, 14.3428, 6.06642, 0, 0
21, 3000.00000, 16.9844, 1.83725, 19.0408, 6.49944, 13.975, 5.94924, 0, 0
22, 0.00000, 16.6266, 1.78724, 18.6641, 6.38475, 13.6638, 5.85049, 0, 0
22, 600.00000, 24.9515, 2.80296, 26.8744, 7.30848, 22.0111, 6.72098, 0, 0
22, 1200.00000, 24.8527, 2.78399, 26.7699, 7.27149, 21.925, 6.68809, 0, 0
22, 1800.00000, 24.5541, 2.72681, 26.4544, 7.16036, 21.6647, 6.58935, 0, 0
22, 2400.00000, 24.3199, 2.6823, 26.2078, 7.0737, 21.4608, 6.51291, 0, 0
22, 3000.00000, 24.352, 2.68829, 26.2417, 7.08581, 21.4885, 6.52353, 0, 0
23, 0.00000, 24.2518, 2.66957, 26.1362, 7.04856, 21.4016, 6.49101, 0, 0
23, 600.00000, 23.8797, 2.6019, 25.7431, 6.91125, 21.0794, 6.37027, 0, 0
23, 1200.00000, 23.2041, 2.47974, 25.0281, 6.66527, 20.4913, 6.15209, 0, 0
23, 1800.00000, 22.6631, 2.38256, 24.4547, 6.47168, 20.0176, 5.97868, 0, 0
23, 2400.00000, 21.8527, 2.24054, 23.5948, 6.18465, 19.308, 5.72126, 0, 0
23, 3000.00000, 20.7063, 2.04681, 22.3762, 5.7848, 18.304, 5.362, 0, 0
24, 0.00000, 20.0325, 1.93686, 21.6589, 5.55331, 17.7138, 5.15363, 0, 0
24, 600.00000, 19.6958, 1.88302, 21.3002, 5.4386, 17.4188, 5.05027, 0, 0
24, 1200.00000, 19.5284, 1.8564, 21.1218, 5.38137, 17.2723, 4.9988, 0, 0
24, 1800.00000, 19.4271, 1.8405, 21.0138, 5.34724, 17.1835, 4.96797, 0, 0
24, 2400.00000, 19.6608, 1.8776, 21.2629, 5.42735, 17.3877, 5.03998, 0, 0
24, 3000.00000, 19.4947, 1.85109, 21.0859, 5.36997, 17.2429, 4.98852, 0, 0
25, 0.00000, 19.5273, 1.85636, 21.1206, 5.38153, 17.2711, 4.99881, 0, 0
25, 600.00000, 19.5609, 1.86167, 21.1565, 5.39294, 17.3005, 5.00909, 0, 0
25, 1200.00000, 19.2922, 1.81942, 20.8699, 5.30183, 17.0652, 4.92693, 0, 0
25, 1800.00000, 18.9561, 1.76725, 20.5112, 5.1886, 16.7707, 4.82473, 0, 0
25, 2400.00000, 18.8556, 1.75172, 20.4041, 5.15468, 16.6828, 4.79418, 0, 0
25, 3000.00000, 18.7883, 1.74142, 20.3322, 5.13219, 16.6237, 4.77384, 0, 0
