hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
45, 600.00000, 20.2332, 2.34298, 22.4263, 7.57129, 16.8019, 6.85641, 0, 0
45, 1200.00000, 19.4214, 2.20837, 21.5854, 7.29836, 16.0953, 6.62744, 0, 0
45, 1800.00000, 18.7722, 2.10411, 20.9114, 7.08252, 15.5304, 6.44594, 0, 0
45, 2400.00000, 17.4075, 1.89746, 19.4856, 6.63603, 14.3428, 6.06642, 0, 0
45, 3000.00000, 25.579, 2.92351, 27.5393, 7.54561, 22.5563, 6.93221, 0, 0
46, 0.00000, 25.2196, 2.85516, 27.1575, 7.40833, 22.2454, 6.80996, 0, 0
46, 600.00000, 24.9534, 2.8035, 26.8762, 7.30883, 22.013, 6.72136, 0, 0
46, 1200.00000, 24.8527, 2.78399, 26.7699, 7.27149, 21.9251, 6.68809, 0, 0
46, 1800.00000, 24.5541, 2.72679, 26.4545, 7.16033, 21.6647, 6.58933, 0, 0
46, 2400.00000, 24.3199, 2.68228, 26.2078, 7.07367, 21.4608, 6.5129, 0, 0
46, 3000.00000, 24.352, 2.68829, 26.2417, 7.08581, 21.4885, 6.52353, 0, 0
47, 0.00000, 24.2518, 2.66956, 26.1362, 7.04855, 21.4017, 6.491, 0, 0
47, 600.00000, 23.8797, 2.6019, 25.7431, 6.91124, 21.0794, 6.37026, 0, 0
47, 1200.00000, 23.2041, 2.47973, 25.0281, 6.66526, 20.4913, 6.15209, 0, 0
47, 1800.00000, 22.6631, 2.38256, 24.4547, 6.47167, 20.0176, 5.97868, 0, 0
47, 2400.00000, 21.8527, 2.24053, 23.5948, 6.18464, 19.308, 5.72125, 0, 0
47, 3000.00000, 20.7063, 2.0468, 22.3762, 5.78478, 18.304, 5.36198, 0, 0
48, 0.00000, 20.0325, 1.93686, 21.6589, 5.55329, 17.7138, 5.15362, 0, 0
